	ID	Latitude	Longitude	Date
111	400884.0	37.552362	-122.2953	2014_03_28
112	400886.0	37.63711	-122.404362	2014_02_21
113	400886.0	37.639558	-122.405568	2014_03_28
114	400975.0	37.612975	-122.395781	2014_02_21
115	400975.0	37.611714	-122.394268	2014_03_28
116	401462.0	37.693677	-122.391827	2014_02_21
117	401462.0	37.690972	-122.391216	2014_03_28
118	401469.0	37.693641	-122.391505	2014_02_21
119	401469.0	37.691221	-122.39097	2014_03_28
120	401929.0	37.505073	-122.245983	2014_02_21
121	401929.0	37.503896	-122.244641	2014_03_28
122	403174.0	37.611715	-122.394637	2014_02_21
123	403174.0	37.610856	-122.393398	2014_03_28
124	403987.0	37.89803	-122.09204	2014_02_21
125	403987.0	37.896385	-122.074227	2014_03_28
126	405529.0	37.303418	-121.878248	2014_02_21
127	405529.0	37.670645	-122.391877	2014_03_28
